3.37,0.00
3.38,0.00
3.39,0.01
3.40,0.01
3.41,-0.01
3.42,-0.02
3.43,0.00
3.44,0.00
3.45,0.00
3.46,0.00
3.47,0.00
3.48,0.00
3.49,0.00
3.50,0.00
3.51,0.01
3.52,0.00
3.53,0.00
3.54,-0.01
3.55,0.00
3.56,0.00
3.57,-0.01
3.58,0.00
3.59,-0.01
3.60,-0.01
3.61,0.00
3.62,0.01
3.63,0.00
3.64,0.01
3.65,0.00
3.66,0.01
3.67,0.01
3.68,-0.01
3.69,0.00
3.70,0.01
3.71,0.00
3.72,-0.01
3.73,-0.01
3.74,-0.01
3.75,0.01
3.76,0.01
3.77,0.01
3.78,0.00
3.79,0.00
3.80,0.00
3.81,0.00
3.82,-0.01
3.83,0.01
3.84,-0.01
3.85,-0.02
3.86,0.00
3.87,0.00
3.88,0.01
3.89,0.01
3.90,-0.01
3.91,0.01
3.92,0.00
3.93,0.00
3.94,0.00
3.95,-0.01
3.96,-0.01
3.97,-0.01
3.98,0.01
3.99,0.00
4.00,0.00
4.01,0.01
4.02,0.01
4.03,0.01
4.04,-0.01
4.05,0.01
4.06,0.00
4.07,0.00
4.08,0.00
4.09,0.00
4.10,-0.01
4.11,-0.02
4.12,-0.01
4.13,0.01
4.14,0.00
4.15,0.00
4.16,0.01
4.17,0.01
4.18,0.00
4.19,0.00
4.20,-0.01
4.21,0.01
4.22,0.00
4.23,0.00
4.24,0.00
4.25,0.00
4.26,-0.01
4.27,-0.01
4.28,0.00
4.29,0.00
4.30,0.00
4.31,-0.01
4.32,-0.01
4.33,0.01
4.34,0.01
4.35,0.01
4.36,0.01
4.37,0.01
4.38,-0.01
4.39,0.00
4.40,0.00
4.41,-0.02
4.42,-0.04
4.43,-0.03
4.44,-0.07
